trial_number,trial_type,event_code,absolute_time,response_time,response,result
NA,NA,1,0.005095325,NA,NA,NA
NA,NA,2,152.4413569,152.4362615,NA,NA
0,0.4937-0.8078-0.6343,3,152.4900755,NA,NA,NA
0,0.4937-0.8078-0.6343,4,152.5065409,NA,NA,NA
0,0.4937-0.8078-0.6343,5,161.4707733,8.96423237,1,1
1,0.4937-0.8078-0.6343,4,161.7719452,NA,NA,NA
1,0.4937-0.8078-0.6343,5,164.5249587,2.753013589,2,1
2,0.4937-0.8078-0.6343,4,164.8270395,NA,NA,NA
2,0.4937-0.8078-0.6343,5,166.044778,1.217738471,3,1
3,0.4937-0.8078-0.6343,4,166.3463341,NA,NA,NA
3,0.4937-0.8078-0.6343,5,166.9247362,0.57840206,1,0
4,0.4937-0.8078-0.6343,4,167.2310946,NA,NA,NA
4,0.4937-0.8078-0.6343,5,169.3803569,2.149262344,2,1
5,0.4937-0.8078-0.6343,4,169.6850911,NA,NA,NA
5,0.4937-0.8078-0.6343,5,171.0306233,1.34553214,3,0
6,0.4937-0.8078-0.6343,4,171.3378874,NA,NA,NA
6,0.4937-0.8078-0.6343,5,173.9888089,2.650921489,2,0
7,0.4937-0.8078-0.6343,4,174.2927893,NA,NA,NA
7,0.4937-0.8078-0.6343,5,175.8775354,1.584746128,1,0
8,0.4937-0.8078-0.6343,4,176.1791794,NA,NA,NA
8,0.4937-0.8078-0.6343,5,176.7087864,0.529607025,3,0
9,0.4937-0.8078-0.6343,4,177.0140079,NA,NA,NA
9,0.4937-0.8078-0.6343,5,177.8856411,0.871633278,2,1
10,0.4937-0.8078-0.6343,4,178.1825436,NA,NA,NA
10,0.4937-0.8078-0.6343,5,181.2765129,3.093969287,2,1
11,0.4937-0.8078-0.6343,4,181.5715776,NA,NA,NA
11,0.4937-0.8078-0.6343,5,182.1416658,0.57008823,2,0
12,0.4937-0.8078-0.6343,4,182.4396822,NA,NA,NA
12,0.4937-0.8078-0.6343,5,183.1006518,0.660969589,3,1
13,0.4937-0.8078-0.6343,4,183.4079048,NA,NA,NA
13,0.4937-0.8078-0.6343,5,186.2284181,2.820513244,1,0
14,0.4937-0.8078-0.6343,4,186.529865,NA,NA,NA
14,0.4937-0.8078-0.6343,5,187.6289439,1.099078867,3,1
15,0.4937-0.8078-0.6343,4,187.9321902,NA,NA,NA
15,0.4937-0.8078-0.6343,5,188.796475,0.8642848,3,1
16,0.4937-0.8078-0.6343,6,189.0840415,36.59396601,NA,9
16,0.4937-0.8078-0.6343,7,192.2890083,3.204966801,NA,NA
16,0.6771-0.8909-0.1205,3,192.3228515,NA,NA,NA
16,0.6771-0.8909-0.1205,4,192.3394284,NA,NA,NA
16,0.6771-0.8909-0.1205,5,194.132804,1.793375621,1,0
17,0.6771-0.8909-0.1205,4,194.4262325,NA,NA,NA
17,0.6771-0.8909-0.1205,5,194.8375543,0.41132176,2,1
18,0.6771-0.8909-0.1205,4,195.1440946,NA,NA,NA
18,0.6771-0.8909-0.1205,5,197.5727707,2.428676142,3,0
19,0.6771-0.8909-0.1205,4,197.8653246,NA,NA,NA
19,0.6771-0.8909-0.1205,5,198.4215369,0.556212365,2,1
20,0.6771-0.8909-0.1205,4,198.7167103,NA,NA,NA
20,0.6771-0.8909-0.1205,5,199.1408102,0.424099986,2,1
21,0.6771-0.8909-0.1205,4,199.4345478,NA,NA,NA
21,0.6771-0.8909-0.1205,5,199.9643932,0.52984537,2,1
